album_mbid,release_date
31fd7519-f8bc-42d1-95eb-98199f573068,1993-09-21
3259c7d6-a078-49b4-ad52-c8417aa6da1e,2014-06-03
32917023-adb3-3c88-983c-0362c288ee8c,2000-07-12
336b5981-acbf-4993-9138-a15fa2b533b0,2008-07-28
3370840c-686e-4ab3-acbc-b79435b27e0c,2008-09-02
33b2bed2-bcef-4a85-a319-526a99f9a5a4,2011-03-15
34143377-1f30-408f-9241-f961f04bd905,2008-02-05
343e9157-d084-4cda-968b-5dfe86dd1d37,2010-08-18
346d52a2-c86e-4095-bf11-f0e6009b24c0,2013-01-21
34e8e329-a618-4edb-9506-876f3926ae00,2005
35aacc47-921c-4d6f-ad50-990dc0af8d9a,2006
35e4f4ee-8899-48e2-b1bf-643431964045,2009-02-10
362e0673-3a59-42ba-a089-29a8a23fde11,2007-09-21
367d39f7-b3c5-4fd1-a77d-c67c481e4de5,2010-05
36d50a3d-839b-40fb-9e94-2f665eda0c63,2016-10-07
371f1d77-628d-4b99-b23f-e37aa617774e,2007-01-23
372c521c-72ab-4e34-9027-e7ee9faa04cc,2007-11-06
3736e21d-c00c-4b11-bdd5-8e2e1e3ee967,2010-07-23
3748c7bd-e90c-4354-89d7-26b3a52652db,2006-09-19
37ba6fd0-4d40-4c24-8cd6-a1619b92b055,2003-03-17
3805f31e-e6e1-4794-9747-63e5bf9ca7c8,2007-08-21
3894823e-fd0f-499a-b070-c732c3380983,1980-01
39731acf-88ea-49b0-8d75-ef148ce1b05e,2017-03-03
398d79b0-22d1-3b64-9a9d-fca3c3e482e5,2000-09-26
399f294f-a7a1-4cd4-a19b-7f32afa7dd13,2018-06-29
3a28432f-5932-4106-9534-d5e7dbf622df,2012-05-04
3a373a0c-6529-4a1f-94f7-95bd49ee80e4,2006-06-15
3b1b3eda-a20c-40cb-8426-20742847fdda,1994-06-21
3b8eaa74-7728-4a83-b477-07e2de8d18f6,2005-09-27
3c22b96b-f2b5-4b6b-90d5-256ba007b739,2005-04-19
3c28841e-a654-4566-8235-7be74e18cb4b,2014-04-01
3c71f0c6-56d3-4f6b-b58e-c37d17dcc4f9,2010-01-19
3c7dab0b-0d75-4dfb-b78d-7571046e0507,2008
3d57cfec-3aec-4d0a-88ec-2b8fb70e6027,2016-09-16
3d8f7d79-752b-4b98-ba6a-70d3b37e2c56,2010-09-28
3e1f1ee2-d8a8-42f5-8956-9e154a6321ac,2015-09-11
3e399913-ad17-4117-9e5a-636d525ab50c,2014
3ead5b02-bfb8-4a8e-87c5-80b1552eddeb,2009-12-11
3eafc0b4-d1a9-4920-89ea-f2bc72a19b59,2018-04-06
3f1266e9-e073-3b81-b4d4-5993f777078a,2003-09-16
4052c157-9c9d-4086-b72c-923787db1549,2008-06-17
414075dd-3925-4461-a720-cee447d87e8f,2015
4145b332-137b-4400-8466-156d758be803,2008-08-08
418528a5-d923-343c-83fd-94173ff32a51,2005
41cc8b7c-c730-4bfb-a7aa-4c012494db7d,2006-07-08
421ff6b9-02bb-4d99-827b-fe4bb20f719a,2016-08-05
42bdebb1-281d-4124-880f-67da014a7b01,2001-06-05
42f8c80c-f98a-4471-b7c6-8dd357608cc0,2007-09-21
4308dee5-9837-4921-9e48-5d0e2a429c86,2013-11-25
431b4fe5-680a-4864-9877-6d30f4d8caf6,2009-06-27
43203539-5030-4cb8-a3a7-0b99a5f19c66,2011-09-13
4321855e-8e8e-4786-8506-28e6d69633b9,2003-11-25
441659e9-eaef-431e-9f0c-6bec526119bf,2008-03-25
44a45e55-3156-4b3e-8f3b-2407f1126a0c,1999
44d184cc-817e-4d96-8068-07a0628d5039,2010-08-31
44d9b416-bfbe-4edc-b3e6-5ab2a22044b8,1988
451df9bc-1ba2-453c-9c60-9537a5f3c6e3,2001-05-15
45807016-ee11-429e-aaa2-392eb9e38800,2005
45fd0075-3bdc-42b0-bbf2-0d1d700d9165,2007
4694854e-5960-4fa2-b25e-46ad32707a31,2007
46a8c5bf-d365-47e6-a238-803bd00ba299,2008-06-17
475fcb13-7f46-457c-b31b-3c6f8bcf7a9f,2011-10-17
47cde828-6ffd-439d-ba99-58c1f21dbb95,2008-08-05
47cf8867-d9f9-4615-8d13-8bda9bafb6c0,2004
480f3424-735d-4983-8088-95704039a1bc,2003-09-15
481e0c2b-f5bf-4253-b6b3-cbeba0403169,2016-06-17
483d4d97-d5a7-4c4a-974d-4c68e4ce6381,2002
4896e0a1-57eb-49bd-8ae7-24f12600bb53,2015-12-18
48ff1b5f-cbc2-4301-a40f-325cb4f89760,2013-03-22
490d2180-66ea-403a-987a-844a6af316f8,2008-12-08
49397050-09da-41fa-a20f-1851defd9c18,1988-11-21
495e163f-9dad-4bb9-8dc5-1647f8ddd583,2005-09-13
4a99b1d2-aa9e-31a3-bfdc-263675e59c3e,2008-02-19
4a9dbe11-f65a-4d2a-bd34-81e6c1229608,2010-04-26
4aabceab-5fc3-4d59-b3f2-a994c6a9f92f,2006-10-30
4bfcb293-1cd6-4b7d-ba78-70594116af21,2006-03-24
